N,protocol,layers,fidelity,entropy,entropy_max,confidence
15,standard,1,0.2705838542763272,2.215735911536132,3,0.26142136282128936
15,standard,2,0.33582864681219887,1.7093764406947782,3,0.4302078531017406
15,standard,3,0.5350017966260354,1.4733932646633254,3,0.5088689117788916
15,standard,4,0.8104967675241141,0.9872950575749879,3,0.670901647475004
15,standard,5,0.8835672682922203,0.6025543701708447,3,0.7991485432763851
15,standard,6,0.9820191774160206,0.16653965778203678,3,0.9444867807393211
15,standard,7,0.9999999999999991,1.2813793227486616e-15,3,0.9999999999999996
15,standard,8,0.9999999999999991,1.2813793227486616e-15,3,0.9999999999999996
15,standard,9,0.9999999999999991,1.2813793227486616e-15,3,0.9999999999999996
15,standard,10,0.9999999999999991,1.2813793227486616e-15,3,0.9999999999999996
