N,protocol,layers,fidelity,entropy,entropy_max,confidence
143,linear_abs,1,0.008592104178249082,6.141217587424419,8,0.23234780157194768
143,linear_abs,2,0.006608981678073613,6.00214990316236,8,0.24973126210470498
143,linear_abs,3,0.0006578947496937138,4.706341199639442,8,0.41170735004506975
143,linear_abs,4,0.00015746499349520232,5.627461868714963,8,0.2965672664106296
143,linear_abs,5,0.0003539573246721261,5.987438515871261,8,0.25157018551609234
143,linear_abs,6,0.0003437407552449549,5.236354633804787,8,0.34545567077440165
143,linear_abs,7,0.0001172598513005154,4.849179922286874,8,0.39385250971414076
143,linear_abs,8,0.0009508690562317919,4.894596083082293,8,0.3881754896147134
143,linear_abs,9,0.00016038837137904462,4.93805336051474,8,0.3827433299356575
143,linear_abs,10,0.002036355558384989,4.7615757001881205,8,0.40480303747648494
143,linear_abs,11,0.0051710972871384445,3.8959324506429724,8,0.5130084436696285
143,linear_abs,12,0.006306841766074653,3.863443096384036,8,0.5170696129519955
143,linear_abs,13,0.01057909509247293,4.045641817655511,8,0.4942947727930611
143,linear_abs,14,0.008598410156626867,3.974705409638138,8,0.5031618237952328
143,linear_abs,15,0.010768971964069628,3.7143363437577444,8,0.535707957030282
143,linear_abs,16,0.0012689861040116295,3.4166319139889394,8,0.5729210107513826
143,linear_abs,17,0.0015718378406021334,3.216128382071166,8,0.5979839522411042
143,linear_abs,18,0.0018956983684958813,3.0735819763696983,8,0.6158022529537877
143,linear_abs,19,0.0018349416174728893,2.9828259286990093,8,0.6271467589126238
143,linear_abs,20,0.0019235089431800076,3.054332809467216,8,0.6182083988165981
143,linear_abs,21,0.0018791428662833169,3.0186902590930136,8,0.6226637176133734
143,linear_abs,22,0.0018651786066788704,3.019895803390683,8,0.6225130245761646
143,linear_abs,23,0.0025436554334468922,2.955101649745522,8,0.6306122937818097
143,linear_abs,24,0.0026124961497746135,2.9715045061695973,8,0.6285619367288003
143,linear_abs,25,0.00045889486232297014,2.2218338687784946,8,0.7222707664026882
143,linear_abs,26,0.00018157188532217023,1.979666623684705,8,0.7525416720394119
143,linear_abs,27,0.00026959434183210923,1.9830104313773862,8,0.7521236960778267
143,linear_abs,28,0.0001677298448983503,1.9068104684994358,8,0.7616486914375705
143,linear_abs,29,0.0003877656984084577,1.8949849020095708,8,0.7631268872488036
143,linear_abs,30,0.0003498293650516867,1.841894046216384,8,0.7697632442229521
143,linear_abs,31,0.0016270179261746458,0.9934065097103647,8,0.8758241862862044
143,linear_abs,32,0.001369057975486323,1.0213113154294131,8,0.8723360855713234
143,linear_abs,33,0.0005211007638211186,0.8103037389794812,8,0.8987120326275648
143,linear_abs,34,6.464549557207744e-05,0.2694621876165174,8,0.9663172265479353
143,linear_abs,35,2.2147796017744402e-05,0.24511588043470908,8,0.9693605149456613
143,linear_abs,36,6.49501638877817e-06,0.22234524971582587,8,0.9722068437855218
143,linear_abs,37,8.72242520847081e-06,0.2498314451663942,8,0.9687710693542008
143,linear_abs,38,8.624415134890303e-06,0.24433680612292083,8,0.9694578992346349
143,linear_abs,39,8.716811959613693e-06,0.24503227905862904,8,0.9693709651176714
143,linear_abs,40,4.092458999839366e-06,0.242846397053509,8,0.9696442003683113
143,linear_abs,41,3.936558495490187e-06,0.24216281714965707,8,0.9697296478562929
143,linear_abs,42,3.936558495490187e-06,0.24216281714965707,8,0.9697296478562929
143,linear_abs,43,4.02883441812945e-06,0.2396069488013758,8,0.9700491313998281
143,linear_abs,44,3.5728103501179883e-06,0.2407739517679897,8,0.9699032560290013
