N,protocol,layers,fidelity,entropy,entropy_max,confidence
21,linear_quadratic,1,0.1699384140935498,1.597907199452394,3,0.46736426684920207
21,linear_quadratic,2,0.13020321560581005,0.8455704141330624,3,0.7181431952889792
21,linear_quadratic,3,0.16500345561902013,0.9580702196758255,3,0.6806432601080581
21,linear_quadratic,4,0.11391424547322235,0.7512730327045223,3,0.7495756557651592
21,linear_quadratic,5,0.3556934747896443,1.0785234227621951,3,0.6404921924126017
21,linear_quadratic,6,0.4442961186316328,1.1410406932040384,3,0.6196531022653204
21,linear_quadratic,7,0.9903085115566472,0.09780141931450019,3,0.9673995268951666
21,linear_quadratic,8,0.9999999999999991,1.281540725111255e-15,3,0.9999999999999996
21,linear_quadratic,9,0.9999999999999991,1.281540725111255e-15,3,0.9999999999999996
21,linear_quadratic,10,0.9999999999999991,1.281540725111255e-15,3,0.9999999999999996
