N,protocol,layers,fidelity,entropy,entropy_max,confidence
119,linear_quadratic,1,0.00041484894064251185,6.22152900290253,8,0.22230887463718374
119,linear_quadratic,2,0.0004118667091492745,6.083345196425193,8,0.23958185044685087
119,linear_quadratic,3,3.951678149134834e-05,4.9724468348825095,8,0.3784441456396863
119,linear_quadratic,4,0.00010623315244365875,4.9527429757568395,8,0.38090712803039506
119,linear_quadratic,5,0.00014528362565649123,4.782918106690308,8,0.40213523666371154
119,linear_quadratic,6,0.00025868785126350566,4.889445413508683,8,0.38881932331141467
119,linear_quadratic,7,0.0007447639491163691,5.406641661527384,8,0.32416979230907705
119,linear_quadratic,8,0.0010058181272886994,5.486690242062422,8,0.31416371974219726
119,linear_quadratic,9,0.00017981904753219526,5.742518203367306,8,0.2821852245790868
119,linear_quadratic,10,0.00018610180166115422,5.822799449315955,8,0.27215006883550563
119,linear_quadratic,11,0.00019919946154533003,5.899162807014643,8,0.2626046491231696
119,linear_quadratic,12,0.00015813471212615358,5.578481174429759,8,0.30268985319628017
119,linear_quadratic,13,0.00018755803456149724,5.547344780486978,8,0.30658190243912775
119,linear_quadratic,14,9.26308464117858e-05,5.062293722273685,8,0.3672132847157894
119,linear_quadratic,15,7.651978492046816e-05,5.09210772487423,8,0.3634865343907212
119,linear_quadratic,16,0.00020437135190671927,4.906108944518867,8,0.3867363819351416
119,linear_quadratic,17,0.00026196860345366454,5.010414089425805,8,0.37369823882177433
119,linear_quadratic,18,0.000251826577346254,5.054568698736483,8,0.36817891265793967
119,linear_quadratic,19,0.00015233581734815625,4.789382328105051,8,0.4013272089868686
119,linear_quadratic,20,0.0002738434801189685,4.8663319975638135,8,0.3917085003045233
119,linear_quadratic,21,2.3190651464859075e-05,4.6921073584589035,8,0.41348658019263707
119,linear_quadratic,22,0.000488764692933837,4.833647047473871,8,0.3957941190657661
119,linear_quadratic,23,0.0006515619886254254,5.0891744531168595,8,0.36385319336039257
119,linear_quadratic,24,0.000777548175911067,5.067949041954016,8,0.366506369755748
119,linear_quadratic,25,0.0007729528240826933,5.08964697356026,8,0.3637941283049675
119,linear_quadratic,26,0.0007085081016680175,4.840901509367729,8,0.3948873113290339
119,linear_quadratic,27,0.0008047287039059636,4.925400254535602,8,0.38432496818304973
119,linear_quadratic,28,0.0006105399649574347,4.505516578563782,8,0.43681042767952727
119,linear_quadratic,29,0.00044640178369666293,4.417656516050956,8,0.44779293549363053
119,linear_quadratic,30,0.00040138319940757997,4.394781934340464,8,0.45065225820744204
119,linear_quadratic,31,0.0003646851047626757,4.3879301252523595,8,0.45150873434345506
119,linear_quadratic,32,0.0001389042795403563,4.286997679083467,8,0.4641252901145666
119,linear_quadratic,33,0.00034709448363800843,4.2225299670115675,8,0.47218375412355407
119,linear_quadratic,34,0.0003135977046763387,4.227948318915198,8,0.47150646013560027
119,linear_quadratic,35,0.00040513100390153554,4.361992943047961,8,0.45475088211900483
119,linear_quadratic,36,5.772456208818233e-05,3.7520295098194554,8,0.5309963112725681
119,linear_quadratic,37,4.878303860966323e-06,4.1390786888277145,8,0.4826151638965357
119,linear_quadratic,38,0.00026073176018406716,3.6404744012700387,8,0.5449406998412452
119,linear_quadratic,39,0.0002470107287836998,3.5732928445871868,8,0.5533383944266017
119,linear_quadratic,40,1.3606368576615265e-05,3.4327110026321206,8,0.5709111246709849
119,linear_quadratic,41,3.2930127149619442e-06,3.395185025637926,8,0.5756018717952592
119,linear_quadratic,42,9.537806617995779e-06,3.319209685370732,8,0.5850987893286586
119,linear_quadratic,43,2.582192177646578e-05,2.812857880201154,8,0.6483927649748558
119,linear_quadratic,44,1.6710370233280954e-05,2.79633962180809,8,0.6504575472739887
119,linear_quadratic,45,1.643226825483257e-05,2.7990809657059,8,0.6501148792867625
119,linear_quadratic,46,2.3030129433937216e-05,2.8669666773279774,8,0.6416291653340028
119,linear_quadratic,47,3.870803788762369e-05,2.7078327699967577,8,0.6615209037504053
119,linear_quadratic,48,5.332768589205147e-05,2.66266667553331,8,0.6671666655583363
119,linear_quadratic,49,4.954835983965778e-05,2.6554949027637065,8,0.6680631371545367
119,linear_quadratic,50,4.223820986380398e-05,2.650829443252561,8,0.6686463195934298
119,linear_quadratic,51,4.144041887905838e-05,2.6619017553028077,8,0.6672622805871491
119,linear_quadratic,52,4.7861709272076646e-05,2.692977055044785,8,0.6633778681194018
119,linear_quadratic,53,2.862442187939303e-05,2.826254146991622,8,0.6467182316260472
119,linear_quadratic,54,2.65889040078658e-05,2.836366349582232,8,0.6454542063022211
119,linear_quadratic,55,2.034377169927029e-05,2.973357274830439,8,0.6283303406461951
119,linear_quadratic,56,2.0394710400571503e-05,2.931296305174708,8,0.6335879618531615
119,linear_quadratic,57,4.8859780721296186e-05,2.9632317534324457,8,0.6295960308209443
119,linear_quadratic,58,9.485021215567065e-05,2.9299080129989967,8,0.6337614983751254
119,linear_quadratic,59,6.27188063339001e-05,2.9551745889403183,8,0.6306031763824602
119,linear_quadratic,60,0.00010313629231085969,2.963040956778186,8,0.6296198804027268
119,linear_quadratic,61,8.69321365209816e-05,2.9428780452929844,8,0.632140244338377
119,linear_quadratic,62,7.306448827554995e-05,2.921854825598016,8,0.634768146800248
119,linear_quadratic,63,6.814391253972804e-05,2.916378758332992,8,0.635452655208376
119,linear_quadratic,64,1.466318124214903e-05,2.7640639079576785,8,0.6544920115052901
119,linear_quadratic,65,1.2662789416000117e-05,2.771301232385525,8,0.6535873459518093
119,linear_quadratic,66,3.8705169838988626e-05,2.875967902106619,8,0.6405040122366726
119,linear_quadratic,67,2.5447373694117313e-05,2.895870913643135,8,0.6380161357946081
119,linear_quadratic,68,2.9892942153829208e-05,2.8679314676628116,8,0.6415085665421485
119,linear_quadratic,69,2.5779176286682197e-05,2.966376483502279,8,0.6292029395622152
119,linear_quadratic,70,2.4144336570850127e-05,2.762929466816285,8,0.6546338166479644
119,linear_quadratic,71,2.153768543580563e-05,2.7391372625608703,8,0.6576078421798912
119,linear_quadratic,72,5.067485738404887e-05,2.6432153543323587,8,0.6695980807084552
119,linear_quadratic,73,0.00010540995472261402,2.6644296855338494,8,0.6669462893082688
119,linear_quadratic,74,0.00014711654766685548,2.685147673040575,8,0.6643565408699281
119,linear_quadratic,75,0.00015171269830104543,2.6833030179272046,8,0.6645871227590994
119,linear_quadratic,76,7.113373985344211e-05,2.7000203460876087,8,0.6624974567390489
119,linear_quadratic,77,6.294828380246157e-05,2.7206261769106685,8,0.6599217278861664
119,linear_quadratic,78,5.742222252469577e-05,2.737468711866281,8,0.6578164110167148
119,linear_quadratic,79,6.22996161006654e-05,2.7372182573273482,8,0.6578477178340815
119,linear_quadratic,80,7.914699896652378e-05,2.7247927087060755,8,0.6594009114117405
119,linear_quadratic,81,8.285818824623133e-05,2.734351340903563,8,0.6582060823870546
119,linear_quadratic,82,0.0001254709446477181,2.6093201343400434,8,0.6738349832074946
119,linear_quadratic,83,0.00012482161053650474,2.6309036192497626,8,0.6711370475937797
119,linear_quadratic,84,8.725013315213834e-05,2.64660558479355,8,0.6691743019008063
119,linear_quadratic,85,8.339549664366628e-05,2.6450483227041617,8,0.6693689596619798
119,linear_quadratic,86,0.00028120331428688986,2.5388760773694132,8,0.6826404903288233
119,linear_quadratic,87,0.0002744094452102475,2.5123735816558894,8,0.6859533022930138
119,linear_quadratic,88,0.0002818513641438786,2.5026709951527906,8,0.6871661256059012
