N,protocol,layers,fidelity,entropy,entropy_max,confidence
51,standard,1,0.023829810584525688,5.822422294146567,6,0.029596284308905485
51,standard,2,0.02875960247109672,5.669523956789943,6,0.05507934053500951
51,standard,3,0.03038769591415031,5.607671601183068,6,0.06538806646948869
51,standard,4,0.035003207754779705,5.521914376808433,6,0.07968093719859448
51,standard,5,0.04469261630609852,5.337645094563135,6,0.11039248423947745
51,standard,6,0.0530584975205703,5.183141408129188,6,0.1361430986451353
51,standard,7,0.055470448783872875,5.086432375892625,6,0.15226127068456252
51,standard,8,0.056727713280016065,5.037888028341425,6,0.16035199527642918
51,standard,9,0.06384665600454842,4.87594439968585,6,0.18734260005235825
51,standard,10,0.06021777223990774,4.79784478438489,6,0.20035920260251838
51,standard,11,0.05685335806009504,4.7148174412303385,6,0.21419709312827695
51,standard,12,0.053339787724354035,4.616261143345126,6,0.23062314277581242
51,standard,13,0.05242273776344388,4.537722874082731,6,0.2437128543195448
51,standard,14,0.050783469874408536,4.448076791223131,6,0.2586538681294782
51,standard,15,0.05725701211600557,4.406008316266979,6,0.2656652806221702
51,standard,16,0.06013293790105039,4.335972654538367,6,0.27733789091027206
51,standard,17,0.06713479777533694,4.2723746829521865,6,0.2879375528413023
51,standard,18,0.08452492175999236,4.180642302171162,6,0.303226282971473
51,standard,19,0.10043658590717353,3.9156064426042745,6,0.3473989262326209
51,standard,20,0.11072356371306898,3.7860128582616497,6,0.36899785695639176
51,standard,21,0.11817818172898656,3.6757570641968598,6,0.38737382263385667
51,standard,22,0.1426725076649596,3.525154857938166,6,0.41247419034363897
51,standard,23,0.16845426548466688,3.281907392899096,6,0.45301543451681736
51,standard,24,0.1755839541308602,3.2091150079496877,6,0.465147498675052
51,standard,25,0.1787285066734608,3.221393049987083,6,0.46310115833548615
51,standard,26,0.1914909136071494,3.0384840048303836,6,0.49358599919493606
51,standard,27,0.1990732127496729,2.9666502365424896,6,0.5055582939095851
51,standard,28,0.21751482517858875,2.91008195615975,6,0.5149863406400417
51,standard,29,0.22166670911843406,2.8623491311254967,6,0.5229418114790838
51,standard,30,0.22045374395828915,2.8641764350834116,6,0.5226372608194314
51,standard,31,0.21985072668572161,2.8056357306021917,6,0.5323940448996347
51,standard,32,0.21812382344331388,2.8284301920448716,6,0.5285949679925215
51,standard,33,0.2171206377655374,2.7963437642504108,6,0.5339427059582649
51,standard,34,0.21823850560208638,2.788875411281503,6,0.5351874314530829
51,standard,35,0.21363569713478164,2.764285779131142,6,0.5392857034781431
51,standard,36,0.2143660521650785,2.763200801995614,6,0.5394665330007311
51,standard,37,0.20640866383641268,2.781952780029485,6,0.5363412033284192
51,standard,38,0.20493266600407478,2.7884742625322465,6,0.5352542895779588
51,standard,39,0.20751188382094637,2.725606463946794,6,0.5457322560088678
51,standard,40,0.2078218349004113,2.7252513586535385,6,0.5457914402244102
51,standard,41,0.21053261352997862,2.724115158206633,6,0.5459808069655612
51,standard,42,0.3277335112955771,2.424236163639181,6,0.5959606393934698
51,standard,43,0.3289096984437865,2.4099487351779425,6,0.5983418774703428
51,standard,44,0.3326022598325979,2.3861180594319245,6,0.6023136567613459
51,standard,45,0.3298584419741582,2.3855537229681887,6,0.6024077128386351
51,standard,46,0.33048671084899944,2.3897195095957016,6,0.6017134150673831
51,standard,47,0.38144140522938147,2.2454844055171064,6,0.6257525990804822
51,standard,48,0.4078404729019566,2.056734937648623,6,0.6572108437252295
51,standard,49,0.3958461708809596,2.0103838479001297,6,0.6649360253499783
51,standard,50,0.3958143854350072,2.0166178854679395,6,0.6638970190886768
51,standard,51,0.4001384566182057,1.9850525850458007,6,0.6691579024923666
51,standard,52,0.44404132855785666,1.8325332969654518,6,0.6945777838390914
51,standard,53,0.45254600160674413,1.8068503565678642,6,0.6988582739053559
51,standard,54,0.4761004181825872,1.6916362775149003,6,0.7180606204141833
51,standard,55,0.6928756847574415,1.1628472293513195,6,0.8061921284414467
51,standard,56,0.6920071183018721,1.1854774247230386,6,0.8024204292128269
51,standard,57,0.6955421725649313,1.134530487516946,6,0.8109115854138423
51,standard,58,0.6929214735524707,1.109368212783267,6,0.8151052978694555
51,standard,59,0.6856587045258603,1.1882243550953284,6,0.801962607484112
51,standard,60,0.977081630291064,0.18716964147325862,6,0.9688050597544569
51,standard,61,0.9784844109884739,0.17621919416623627,6,0.9706301343056273
51,standard,62,0.9893103633207512,0.0951304583773344,6,0.9841449236037776
51,standard,63,0.9894817997925233,0.09397935062764337,6,0.9843367748953927
51,standard,64,0.9903182570273185,0.0845768820169741,6,0.985903852997171
51,standard,65,0.9999999999999998,3.203426505512181e-16,6,1.0
51,standard,66,0.9999999999999953,6.727195658181288e-15,6,0.9999999999999989
51,standard,67,0.9999999999999956,6.406853007796938e-15,6,0.9999999999999989
51,standard,68,0.9999999999999984,2.2423985528467886e-15,6,0.9999999999999997
51,standard,69,0.9999999999999984,2.2423985528467886e-15,6,0.9999999999999997
51,standard,70,0.9999999999999984,2.2423985528467886e-15,6,0.9999999999999997
