N,protocol,layers,fidelity,entropy,entropy_max,confidence
87,standard,1,0.009895950960763652,6.798717194087143,7,0.028754686558979614
87,standard,2,0.0091166226735628,6.642660071694228,7,0.05104856118653889
87,standard,3,0.009130452863261784,6.568956697478744,7,0.06157761464589373
87,standard,4,0.009443157723535411,6.518975210222101,7,0.0687178271111284
87,standard,5,0.01007805335907181,6.459639311511232,7,0.07719438406982404
87,standard,6,0.012899281500984723,6.258342941092105,7,0.1059510084154135
87,standard,7,0.01842511989632918,6.065526335885208,7,0.13349623773068464
87,standard,8,0.021989852492210794,5.9363761601252465,7,0.1519462628392505
87,standard,9,0.02470747236878893,5.864684225318949,7,0.16218796781157874
87,standard,10,0.027181485013436056,5.783586295568796,7,0.17377338634731487
87,standard,11,0.027901310586379985,5.741303439934657,7,0.17981379429504896
87,standard,12,0.02977742916599205,5.662260629486211,7,0.19110562435911282
87,standard,13,0.03382884483036094,5.489270914784742,7,0.21581844074503687
87,standard,14,0.03530208871015848,5.450946283647051,7,0.2212933880504213
87,standard,15,0.03617167082170046,5.4254335227525186,7,0.2249380681782116
87,standard,16,0.039095004782582085,5.351912297186618,7,0.23544110040191168
87,standard,17,0.04193174806837139,5.272864720560904,7,0.2467336113484423
87,standard,18,0.04278727480827239,5.235817568166752,7,0.25202606169046404
87,standard,19,0.04355655308119224,5.19982561911694,7,0.25716776869758007
87,standard,20,0.045847171277326154,5.1154407658001055,7,0.26922274774284205
87,standard,21,0.047184018183087005,5.074461176318281,7,0.27507697481167415
87,standard,22,0.048819534969604436,5.039662565060396,7,0.28004820499137206
87,standard,23,0.048816310922044144,5.002642685815505,7,0.28533675916921364
87,standard,24,0.050145841979815205,4.951488155385041,7,0.2926445492307084
87,standard,25,0.04980938821757286,4.975890769798892,7,0.2891584614573012
87,standard,26,0.049721543759439886,4.949766357381381,7,0.29289052037408847
87,standard,27,0.048197883509367434,5.025162549602958,7,0.28211963577100607
87,standard,28,0.047313968664149365,5.033025823867168,7,0.28099631087611887
87,standard,29,0.046178243364657146,5.007566130061757,7,0.2846334099911776
87,standard,30,0.05071764069211396,4.9254337852738574,7,0.29636660210373467
87,standard,31,0.05134535409068488,4.929935067026288,7,0.29572356185338744
87,standard,32,0.05827346732061193,4.8371695776914185,7,0.3089757746155116
87,standard,33,0.05868903396335525,4.819901608559099,7,0.3114426273487002
87,standard,34,0.06118492158969473,4.777829277069341,7,0.31745296041866555
87,standard,35,0.06132416267222018,4.771324455203894,7,0.318382220685158
87,standard,36,0.06121037560042676,4.76927016956127,7,0.3186756900626758
87,standard,37,0.06563685452389213,4.631140313218293,7,0.33840852668310095
87,standard,38,0.06563685454353796,4.631140313429974,7,0.3384085266528609
87,standard,39,0.056450541414656843,4.4420443043883555,7,0.3654222422302349
87,standard,40,0.052364207445196195,4.341377007674721,7,0.37980328461789703
87,standard,41,0.05227428226898183,4.3324715236276425,7,0.3810754966246225
87,standard,42,0.05091625521882981,4.344171009102088,7,0.37940414155684454
87,standard,43,0.05104022688167069,4.313432893318441,7,0.3837953009545084
87,standard,44,0.05179691812822059,4.322245295280291,7,0.3825363863885298
87,standard,45,0.04989587946602101,4.322341831415213,7,0.38252259551211243
87,standard,46,0.049632160345279855,4.3287005297906935,7,0.3816142100299009
87,standard,47,0.043077685907699226,4.27310929354574,7,0.3895558152077514
87,standard,48,0.0447163042507267,4.226596053804697,7,0.39620056374218604
87,standard,49,0.04648477392884715,4.192253464824463,7,0.4011066478822195
87,standard,50,0.045748818069407095,4.092258837518834,7,0.4153915946401666
87,standard,51,0.04588496466168332,4.092434724249139,7,0.4153664679644088
87,standard,52,0.045548570325302656,4.080780826108322,7,0.417031310555954
87,standard,53,0.04463858866341579,4.084204785052391,7,0.4165421735639442
87,standard,54,0.046068249278162686,4.026563349382738,7,0.4247766643738945
87,standard,55,0.045887332855255834,4.03510881037491,7,0.4235558842321556
87,standard,56,0.04672074120553456,4.006459767768452,7,0.4276486046045068
87,standard,57,0.04666346601686282,4.007887924953713,7,0.42744458214946957
87,standard,58,0.045440569926378196,3.95830234027273,7,0.43452823710389565
87,standard,59,0.0475845294728799,3.981069262214236,7,0.43127581968368056
87,standard,60,0.052362779545586394,3.9429026006441195,7,0.43672819990798295
87,standard,61,0.05266474682442425,3.9386831530875805,7,0.4373309781303456
87,standard,62,0.05036633067889737,3.9239771406276445,7,0.43943183705319366
87,standard,63,0.05224515968044159,3.8885295780770486,7,0.44449577456042166
87,standard,64,0.05179633342926576,3.8840248214672366,7,0.4451393112189662
87,standard,65,0.04596355103696613,3.8305983757272517,7,0.45277166061039265
87,standard,66,0.0458723154428861,3.8085873588774173,7,0.4559160915889404
87,standard,67,0.053275065093198785,3.7645786945944395,7,0.4622030436293658
87,standard,68,0.05342440206682304,3.758670200161947,7,0.46304711426257905
87,standard,69,0.0533408014873049,3.7660604745346604,7,0.46199136078076275
87,standard,70,0.05048631222022668,3.7052756748924227,7,0.47067490358679676
87,standard,71,0.050762756398650806,3.705605618652961,7,0.4706277687638627
87,standard,72,0.04600716517699682,3.618831502053205,7,0.48302407113525647
87,standard,73,0.04569059184023567,3.621572059666445,7,0.4826325629047935
87,standard,74,0.04675404886208352,3.6202823983973698,7,0.48281680022894713
87,standard,75,0.04593014366608024,3.596834917639149,7,0.4861664403372644
