layers,fidelity,cost,num_2qub_gates
1,0.043982158975096365,13.621065434916918,12
2,0.049769935617125734,11.935428385947846,24
3,0.01648847015974412,10.196453461684058,36
4,0.01655199453818445,9.82079398053014,48
5,0.0011369441858046308,8.999596870634882,60
6,0.0013376521568716536,7.8825525657442075,72
7,0.008736517636185095,7.359140376139784,84
8,0.0013556265048823932,6.991541031274501,96
9,0.003447060809452623,6.849785034854837,108
10,0.0052732845785243496,6.809571588256945,120
11,0.016081644414465735,6.700524417318642,132
12,0.7546331969571755,3.177343173076506,144
13,0.7509632223124041,3.160985586119729,156
14,0.8612939464814298,1.6085958391787512,168
15,0.8540173128994274,1.5749891555253122,180
16,0.9228412397822181,1.2619180053641101,192
17,0.9139507079790062,0.900223368749353,204
18,0.9421569893241144,0.7399015712294951,216
19,0.9482848221310157,0.636027158543162,228
20,0.946940197315334,0.6135729806025431,240
21,0.9503581885586253,0.583506796209022,252
22,0.9839702128703637,0.20695806807199202,264
23,0.9839107387205598,0.206058093744514,276
24,0.9910293614597783,0.082185904011811,288
25,0.9900385748523047,0.079457303458941,300
26,0.993961803423313,0.05814362107743801,312
27,0.9938343623384024,0.057992027824040004,324
28,0.9988380475181459,0.010350310948369001,336
29,0.9995474431647131,0.003730870378026,348
30,0.9995674674900535,0.003541228097441,360
