layers,fidelity,cost,num_2qub_gates
1,0.008592104178249082,112.89370952479482,30
2,0.006608981678073613,103.30015807235776,60
3,0.0006578947496937138,80.75321553700734,90
4,0.00015746499349520232,76.25997244870445,120
5,0.0003539573246721261,72.36637698726823,150
6,0.0003437407552449549,60.790205503978555,180
7,0.0001172598513005154,57.61242263489787,210
8,0.0009508690562317919,56.2818877525588,240
9,0.00016038837137904462,54.9400921764003,270
10,0.002036355558384989,52.560867751527105,300
11,0.0051710972871384445,41.09686026773018,330
12,0.006306841766074653,40.90966759530045,360
13,0.01057909509247293,39.135422317290775,390
14,0.008598410156626867,38.846597531883916,420
15,0.010768971964069628,36.0474584738179,450
16,0.0012689861040116295,27.304478878721568,480
17,0.0015718378406021334,26.030528841030527,510
18,0.0018956983684958813,25.50782445347449,540
19,0.0018349416174728893,24.83315172700438,570
20,0.0019235089431800076,24.163229405113476,600
21,0.0018791428662833169,22.130836324553652,630
22,0.0018651786066788704,21.85442728767537,660
23,0.0025436554334468922,20.748270707999467,690
24,0.0026124961497746135,20.509371654039825,720
25,0.00045889486232297014,15.807510344808389,750
26,0.00018157188532217023,14.624585093226301,780
27,0.00026959434183210923,14.338631316128875,810
28,0.0001677298448983503,13.85087385962733,840
29,0.0003877656984084577,13.58065997322808,870
30,0.0003498293650516867,13.473359943037131,900
31,0.0016270179261746458,9.771052522412138,930
32,0.001369057975486323,9.392405068728323,960
33,0.0005211007638211186,8.806296534911967,990
34,6.464549557207744e-05,5.187482886368565,1020
35,2.2147796017744402e-05,5.05005343304001,1050
36,6.49501638877817e-06,4.753732689971351,1080
37,8.72242520847081e-06,4.636972744797169,1110
38,8.624415134890303e-06,4.627416647232066,1140
39,8.716811959613693e-06,4.627085266505125,1170
40,4.092458999839366e-06,4.545905975573109,1200
41,3.936558495490187e-06,4.5458009812189974,1230
42,3.936558495490187e-06,4.5458009812189974,1260
43,4.02883441812945e-06,4.50778912294492,1290
44,3.5728103501179883e-06,4.498560928863653,1320
45,4.3648885153592795e-06,4.47817852349802,1350
46,6.296907098894955e-06,4.4626205170274424,1380
47,5.742078606555679e-05,4.4178638151315255,1410
48,9.627764615796774e-05,4.335238843477605,1440
49,9.712243191669303e-05,4.327691571882551,1470
50,9.853758587621346e-05,4.323257737666701,1500
51,8.119668765737902e-05,4.293805567072733,1530
52,7.253401119504242e-05,4.29113946832941,1560
53,9.15683784580209e-08,4.117362076357232,1590
54,8.541911475795946e-08,4.115894016382705,1620
55,7.265698855647706e-06,4.089497698681943,1650
56,6.587359953870085e-06,4.086379998291704,1680
57,6.722679816585223e-06,4.0862895229614224,1710
58,7.914443805307267e-06,4.07910279404017,1740
59,7.994999656778901e-06,4.077779452282063,1770
60,7.98277580792559e-06,4.076794537513306,1800
61,8.601238403783181e-06,4.069087419026911,1830
62,2.205863059473632e-06,4.064204134750687,1860
63,2.220237436307841e-06,4.063108597091931,1890
64,2.221124905100216e-06,4.060773478635953,1920
65,2.3981959881007567e-06,4.060183907325102,1950
66,2.7307403232722514e-06,4.057184284420235,1980
67,5.2346099600221215e-06,4.055180835448435,2010
68,5.9742235926123645e-06,4.053736052244277,2040
69,6.203474959889102e-06,4.053515005143819,2070
70,1.4872287671747676e-05,4.050646202208279,2100
71,1.5277369808383473e-05,4.050474523373232,2130
72,2.059866658752374e-05,4.048081041733538,2160
73,1.575127843430437e-05,4.047801674631001,2190
74,4.387963625076924e-06,4.02083066046454,2220
75,3.3069102135181916e-06,4.02052098997975,2250
76,3.306910190188997e-06,4.020520989979749,2280
77,3.306910190188997e-06,4.020520989979748,2310
78,3.306910190188997e-06,4.020520989979748,2340
79,3.3069103547129283e-06,4.020520989979714,2370
80,3.3069103547129283e-06,4.020520989979714,2400
81,3.3069103547129283e-06,4.020520989979714,2430
82,3.3069103547129283e-06,4.020520989979713,2460
83,3.3069103547129283e-06,4.020520989979713,2490
84,3.3069102684574868e-06,4.0205209899797,2520
85,2.643422273186007e-06,4.012516216608111,2550
86,2.643422273186007e-06,4.012516216608111,2580
87,4.8594278481239055e-06,4.011342270978446,2610
88,4.8594278481239055e-06,4.011342270978446,2640
89,8.892706254145966e-06,4.008663764074831,2670
90,2.61249983952529e-07,4.00643098126783,2700
91,5.88368041229794e-07,4.005862580644234,2730
92,5.450699468252495e-07,4.005856479939359,2760
93,6.705524748912278e-07,4.005848224415709,2790
94,9.032932988297021e-07,4.005726120991463,2820
95,1.0623639096763455e-06,4.005671805006036,2850
96,1.323893781775644e-06,4.004767082785317,2880
97,1.323893781775644e-06,4.004767082785317,2910
98,4.6769396623696275e-06,4.003393334320145,2940
99,4.676939861291184e-06,4.003393334320063,2970
100,1.6089167763543005e-05,4.00277188263982,3000
101,1.625219385332468e-05,4.002770898214789,3030
102,1.6196782490769254e-05,4.002770521697152,3060
103,7.343912265835652e-06,4.002163269472991,3090
104,7.343912396792276e-06,4.002163269472936,3120
105,7.343912844475565e-06,4.002163269472934,3150
106,7.441872148630657e-06,4.002032793311605,3180
107,7.441872178567734e-06,4.002032793311568,3210
108,7.441872178567734e-06,4.002032793311569,3240
109,7.441872178567734e-06,4.002032793311569,3270
110,7.441872178567734e-06,4.002032793311569,3300
111,1.2602352893212731e-05,4.001443198002009,3330
112,1.1685088769309881e-05,4.001283246295469,3360
113,1.17108863069222e-05,4.001274999804101,3390
114,1.1710886179285941e-05,4.001274999804044,3420
115,1.1709250017780372e-05,4.001256593928784,3450
116,1.1709250017780372e-05,4.001256593928785,3480
117,0.0027156235993274626,2.293907543436753,3510
118,0.0006558778696668534,2.22926841138964,3540
119,0.0002016569254599966,2.224538670888658,3570
120,0.00015796854603551,2.216906681140735,3600
121,0.0011131387712991188,2.19504301561191,3630
122,0.0007083039215231959,2.178080880075736,3660
123,0.0008661932850868799,2.177245570081165,3690
124,0.0008555521175371167,2.177210105104502,3720
125,0.0009788279527274456,2.170924142410339,3750
126,0.0017846448419597146,2.169407944298469,3780
127,0.014324322626560568,2.153927661620644,3810
128,0.015474259455038662,2.150526258811103,3840
129,0.9595697687855579,0.6208045895812531,3870
130,0.9620141010133317,0.612066537562126,3900
131,0.961764478245284,0.6110594910400481,3930
132,0.9620354532149992,0.610166793734452,3960
133,0.9551021797179884,0.593393539218602,3990
134,0.9552059684381446,0.5702664362223211,4020
135,0.955240513718691,0.558276023471159,4050
136,0.9561208236814192,0.553653011032158,4080
137,0.9551307072778453,0.5487698968218281,4110
138,0.9565701485216695,0.519859161572468,4140
139,0.957771232050893,0.5171404244440221,4170
140,0.9574207182750586,0.516789148417519,4200
141,0.9859249470142638,0.32755675036257803,4230
142,0.9859249470143853,0.32755675036257803,4260
143,0.9866015981130358,0.30508911113832804,4290
144,0.9892822631671858,0.24716681897657303,4320
145,0.9928944952655835,0.23130393671294502,4350
146,0.9928249184716691,0.22798620837634903,4380
147,0.9924951033806434,0.226174698521819,4410
148,0.9936420191589165,0.20740406260330502,4440
149,0.9936825410787621,0.205071158721211,4470
150,0.9936825410787621,0.205071158721211,4500
151,0.9936695761479429,0.20498266994177003,4530
152,0.9938404139383099,0.203981268548309,4560
153,0.9938398310852687,0.203056956665635,4590
154,0.9937769127427424,0.202720477044972,4620
155,0.9941756628760352,0.178238111228,4650
156,0.9944770887880091,0.17623524447895902,4680
157,0.9945894839358244,0.17469074796834602,4710
158,0.9942927861232355,0.17045923910112,4740
159,0.99288930071032,0.13979428867496502,4770
160,0.9933285194838879,0.13875079411094102,4800
161,0.9935015950335913,0.13778876706930301,4830
162,0.9935015950101143,0.13778876706930301,4860
163,0.9929327644471913,0.131017306163279,4890
164,0.9932075215636514,0.12247368581871201,4920
165,0.9932210182149865,0.12101725671084201,4950
166,0.9932242911534978,0.119628359568877,4980
167,0.9932181148537577,0.11905344170657702,5010
168,0.9932924345504425,0.116834506615203,5040
169,0.9932674526963322,0.11682723688872601,5070
170,0.9934706089408891,0.11536278141266701,5100
171,0.9934567918697482,0.114837210625347,5130
172,0.9934249300871435,0.11467123698563601,5160
173,0.9951688968849532,0.10039510965365701,5190
174,0.9950304523715888,0.099564952153709,5220
175,0.9950304523715888,0.099564952153709,5250
