layers,fidelity,cost,num_2qub_gates
1,0.029288873373560363,4595.785424238156,24
2,0.01966713073219335,4141.058484783671,48
3,0.028816798794859752,3439.9665686521043,72
4,0.006169753118403363,1775.573848693171,96
5,0.007868218383529706,1769.867599562734,120
6,0.008542543841538575,1712.5569263682075,144
7,3.931625740457148e-05,1427.4993405897526,168
8,0.017061330800291367,1311.957104722477,192
9,0.020669948791676683,1144.3126207743087,216
10,0.015043537685171466,1130.5041330270656,240
11,0.012202026918008079,1129.8564378428628,264
12,0.12571193578976092,925.1971347098304,288
13,0.1142933457646706,909.6494501104178,312
14,0.19093475425681988,809.7838214952571,336
15,0.1953844337129915,808.8982251959619,360
16,0.3347158841654847,638.2405230138098,384
17,0.35242693048072166,628.2313340369167,408
18,0.3619095093730154,613.5791307953573,432
19,0.32921036983354,600.6827741067166,456
20,0.276514032245082,530.6727814553469,480
21,0.2606631189754453,527.0416744140038,504
22,0.24383232012500652,502.78147119001005,528
23,0.2212199014900638,478.9164349032055,552
24,0.17372488677820955,474.9691020835899,576
25,0.0821908695033273,447.3094989782578,600
26,0.08092471906759427,440.98624181660364,624
27,0.1284311453456395,411.82303940787364,648
28,0.12331078252598476,390.88896210858854,672
29,0.11864025279420373,387.0046336697183,696
30,0.13597636104435185,308.10848116537375,720
31,0.11906551411280163,292.38081435331054,744
32,0.2763941069557137,265.6382066000656,768
33,0.29237924314354263,264.8904508888396,792
34,0.29109248073257793,253.62032169773923,816
35,0.28058504171665816,250.735096750365,840
36,0.3366591457100876,233.00174673990483,864
37,0.3087342392409613,228.7656174098562,888
38,0.3192672065957824,226.72335722463254,912
39,0.3721862740604977,201.21889548154604,936
40,0.3718502833966259,192.92057055589316,960
41,0.3542081539795504,180.48996335787245,984
42,0.3484279047014382,177.69176009203076,1008
43,0.35463890374002494,174.32133049938057,1032
44,0.4054443927245686,145.45845836201363,1056
45,0.4250795191576151,140.58410749720014,1080
46,0.4130324702623513,131.65208327086322,1104
47,0.4067755503021889,131.13946124824764,1128
48,0.403936069082483,130.90199840205395,1152
49,0.3678094820103136,130.07176471164544,1176
50,0.39152443205718557,124.81750897733227,1200
51,0.3824413488802591,123.09808771023475,1224
52,0.3786353065261659,119.6297093557065,1248
53,0.3779583382977557,119.57614280724968,1272
54,0.3814036021411188,116.03645073921976,1296
55,0.5010039646018178,89.49999015876222,1320
56,0.5034271846874931,89.37338888461986,1344
57,0.47452494910311693,86.13682682177914,1368
58,0.48181841614896687,85.978988114978,1392
59,0.4937793688752405,85.35582068219337,1416
60,0.4805776477385684,81.13452558932835,1440
61,0.47868863044178367,80.98686303799607,1464
62,0.489132885132488,78.58461959593134,1488
63,0.4804940487721754,76.76222524899836,1512
64,0.4903312252614965,74.15757930468496,1536
65,0.48371003012214087,74.07606706527659,1560
66,0.4746549407694531,72.31659327226286,1584
67,0.4659738288033365,72.12906067278482,1608
68,0.42255147648021546,58.34484753233023,1632
69,0.555413799966018,46.530518405947205,1656
70,0.5564558318764311,44.68175920760474,1680
71,0.5989016608037577,37.20524051056254,1704
72,0.6016373546968222,35.931693133736445,1728
73,0.5926169780922629,35.66136666460039,1752
74,0.5940874049184114,35.65729593094973,1776
75,0.5889364066200421,35.262751202502756,1800
