layers,fidelity,cost,num_2qub_gates
1,0.012694699872457714,957.6044559208092,16
2,0.0007954813675139801,672.8942135565795,32
3,0.00022864022496556943,557.0718710599963,48
4,0.0004618025908242437,485.48577972173655,64
5,0.0004609658992567556,481.65049990061357,80
6,0.0006000382254112364,468.8894993874913,96
7,0.0007598235052129656,463.2966333737363,112
8,0.0008292556470029468,461.7446639488419,128
9,0.0008450766898874406,460.9425263026821,144
10,0.0010027526467763467,350.4805426896796,160
11,0.002854047178623738,195.757990857259,176
1,0.012694699872457714,957.6044559208092,16
2,0.0007954813675139801,672.8942135565795,32
3,0.00022864022496556943,557.0718710599963,48
4,0.0004618025908242437,485.48577972173655,64
5,0.0004609658992567556,481.65049990061357,80
6,0.0006000382254112364,468.8894993874913,96
7,0.0007598235052129656,463.2966333737363,112
8,0.0008292556470029468,461.7446639488419,128
9,0.0008450766898874406,460.9425263026821,144
10,0.0010027526467763467,350.4805426896796,160
11,0.002854047178623738,195.757990857259,176
12,7.874346957684914e-05,155.5885849288465,192
13,0.0003752318925156987,98.38946489327316,208
14,0.00035836744888368533,98.33169441677687,224
15,0.00011240597871931422,89.11569032484869,240
16,0.00019569798511766712,68.47411332441376,256
17,0.00029021304573039776,66.85583434209082,272
18,0.0003849130753579067,65.6269877936815,288
19,0.0004911654722993842,63.25117994859083,304
20,0.0004154150853350451,62.78285199562386,320
21,0.00047152841742329333,59.4790974817987,336
22,0.0004758024138278883,59.46856561525786,352
23,0.0003029133681196632,57.421152349012274,368
24,0.0002474124056613178,54.06494663884315,384
25,0.00016477392714360457,48.970712268366256,400
26,0.00028963857136118443,47.6236025475557,416
27,0.00032024311142818184,47.58205698128878,432
28,0.0005631301539370325,47.01535260279526,448
29,0.0002925405444738904,45.38094421078842,464
30,0.00028128054787197415,45.34444356190388,480
31,0.00028389402407937345,45.333106711139116,496
32,0.00015056491757765064,41.059362150105606,512
33,0.000169864940549808,40.86341404840315,528
34,0.0004081641873396166,38.54423982677771,544
35,0.0009291487145043177,18.252003187026105,560
36,0.0021175400504925756,16.28288075392948,576
37,0.002073979925024771,16.10592539245535,592
38,0.0020653054663572977,16.105090523858298,608
39,0.00035919668487416784,9.66821365510739,624
40,0.0010641093441411949,9.127669585767975,640
41,0.0018374147368062713,8.719360733419979,656
42,0.0023834278516508467,7.938460573130525,672
43,0.005273775571202015,6.23075015253951,688
44,0.005404896302214259,6.190420175043569,704
45,0.005316944775756175,6.084690701816736,720
46,0.004928170011908118,5.442984725763952,736
47,0.0058582087987354885,5.191340276337048,752
48,0.005935794469870214,5.129271384055169,768
49,0.006548298719783429,5.027005204250845,784
50,0.00670230959358416,4.506366007107836,800
51,0.006592936484694957,4.500220930773568,816
52,0.006780791606308229,4.491928890736595,832
53,0.006947722989877182,4.487788139331045,848
54,0.0069226681189178945,4.480372303757713,864
55,0.0069655042627278455,4.477911806341518,880
56,0.020245088777247067,4.05993643614829,896
57,0.025408490430588238,3.981929078570959,912
58,0.02892205372203165,3.957845186846281,928
59,0.032973999234023464,3.942606069069795,944
60,0.8833991884073865,0.6908246201940971,960
61,0.9727488849451749,0.19903635685157,976
62,0.976116509548702,0.11984413998880601,992
63,0.9992223113010956,0.003815737033017,1008
64,1.0000000000000044,8.775527013539026e-21,1024
65,1.0000000000000044,8.775527013539028e-21,1040
66,1.0000000000000044,8.775527013539028e-21,1056
67,1.0000000000000044,8.775527013539026e-21,1072
68,1.0000000000000044,8.775527013539028e-21,1088
69,1.0000000000000044,8.775527013539026e-21,1104
70,1.0000000000000044,8.775527013539026e-21,1120
