N,protocol,layers,fidelity,entropy,entropy_max,confidence
95,standard,1,0.011792094361853566,6.810659601282585,7,0.02704862838820221
95,standard,2,0.013534016075670001,6.664483457174913,7,0.04793093468929821
95,standard,3,0.014078288623417989,6.5918185947326435,7,0.0583116293239081
95,standard,4,0.01486324078496841,6.537122864626824,7,0.06612530505331093
95,standard,5,0.02491943820053624,6.295797514294781,7,0.1006003551007455
95,standard,6,0.029276487436924556,6.132657949541715,7,0.12390600720832645
95,standard,7,0.030682451763032713,6.031981075992248,7,0.13828841771539313
95,standard,8,0.03136891198031561,5.958707569122827,7,0.14875606155388188
95,standard,9,0.031442008697104507,5.873458354423115,7,0.1609345207966978
95,standard,10,0.03050228818164062,5.794364330373837,7,0.17223366708945187
95,standard,11,0.029423528969206202,5.737156427475301,7,0.18040622464638556
95,standard,12,0.028847539462325412,5.712985630599976,7,0.18385919562857478
95,standard,13,0.030205147434397894,5.641381947782612,7,0.19408829317391252
95,standard,14,0.030849971783178647,5.628084336710357,7,0.19598795189852047
95,standard,15,0.031040379621627003,5.574161929742684,7,0.20369115289390227
95,standard,16,0.03215679196628867,5.4994718111095935,7,0.21436116984148668
95,standard,17,0.03248167240553846,5.387810497443292,7,0.23031278607952976
95,standard,18,0.034998082509327205,5.297106726769304,7,0.2432704676043852
95,standard,19,0.03822252630622541,5.220413344611814,7,0.2542266650554551
95,standard,20,0.03947872989843357,5.196259100622926,7,0.25767727133958196
95,standard,21,0.039272265082735715,5.20082372570779,7,0.2570251820417443
95,standard,22,0.044122053200928164,4.977799843546506,7,0.28888573663621353
95,standard,23,0.04380052497750855,4.978621973440019,7,0.2887682895085687
95,standard,24,0.043703316158267336,4.978305179994061,7,0.28881354571513407
95,standard,25,0.04286934951009912,4.909310345625802,7,0.29866995062488544
95,standard,26,0.0442675958277309,4.6684969363394835,7,0.33307186623721663
95,standard,27,0.04491469600031389,4.636073547740329,7,0.33770377889423864
95,standard,28,0.04609476137807006,4.523906827741091,7,0.353727596036987
95,standard,29,0.047577243193273146,4.473637724278917,7,0.3609088965315833
95,standard,30,0.049043804345221924,4.408339650030079,7,0.37023719285284584
95,standard,31,0.0515011204310057,4.355851568926771,7,0.3777354901533184
95,standard,32,0.05060477052706002,4.368375809041702,7,0.37594631299404246
95,standard,33,0.05261349747809894,4.3171695030521215,7,0.3832614995639826
95,standard,34,0.0562917579992579,4.232634542031306,7,0.3953379225669563
95,standard,35,0.05641532899917517,4.229238891917319,7,0.395823015440383
95,standard,36,0.05687006870274614,4.203156071546501,7,0.39954913263621417
95,standard,37,0.057483790282661845,4.195103243822109,7,0.40069953659684165
95,standard,38,0.057295867349723466,4.196666558279719,7,0.4004762059600402
95,standard,39,0.06331008855408901,4.00653158921005,7,0.4276383443985642
95,standard,40,0.06507342209025342,3.9278488654452324,7,0.4388787335078239
95,standard,41,0.06829380749966657,3.8530007944907276,7,0.44957131507275316
95,standard,42,0.06677704265852788,3.8249448649115525,7,0.4535793050126353
95,standard,43,0.0684324948692686,3.7932652310604005,7,0.4581049669913714
95,standard,44,0.06884887087901906,3.775955045888401,7,0.46057785058737133
95,standard,45,0.06880695237035361,3.7713386991181985,7,0.4612373286974002
95,standard,46,0.06965313002226012,3.739753153028013,7,0.46574954956742676
95,standard,47,0.07243968898446462,3.7168313801706088,7,0.4690240885470559
95,standard,48,0.07422568080518924,3.7005736925998414,7,0.4713466153428798
95,standard,49,0.07453791289870822,3.700137776055646,7,0.47140888913490764
95,standard,50,0.07425032326353395,3.7020611124631513,7,0.47113412679097844
95,standard,51,0.07488515321482414,3.687318905267225,7,0.4732401563903964
95,standard,52,0.0750859634470415,3.6861149777212225,7,0.4734121460398254
95,standard,53,0.07863540963491808,3.661701919249058,7,0.47689972582156315
95,standard,54,0.08004399147536877,3.6661281112163797,7,0.47626741268337436
95,standard,55,0.08259238418029728,3.6454654547236864,7,0.4792192207537591
95,standard,56,0.08981201121055205,3.5961531947853396,7,0.48626382931638
95,standard,57,0.08940835083934433,3.5986604717818436,7,0.48590564688830806
95,standard,58,0.09218765547706077,3.585837090219438,7,0.4877375585400803
95,standard,59,0.09846835138342924,3.5226637889810193,7,0.4967623158598544
95,standard,60,0.10010174317769126,3.514674860236504,7,0.4979035913947851
95,standard,61,0.101782609823749,3.480485199896282,7,0.5027878285862455
95,standard,62,0.10707384228060678,3.4128714225183616,7,0.512446939640234
95,standard,63,0.113340114188707,3.359752825413583,7,0.5200353106552025
95,standard,64,0.11082984751849348,3.3527152702327014,7,0.5210406756810426
95,standard,65,0.11052754908607694,3.35837350797804,7,0.5202323560031372
95,standard,66,0.11363237797647627,3.2871476523305065,7,0.5304074782384991
95,standard,67,0.11664098818059071,3.2604256074670706,7,0.5342249132189899
95,standard,68,0.12046875642039487,3.204388154414491,7,0.5422302636550727
