layers,fidelity,cost,num_2qub_gates
1,0.01030001188856415,10.981539060510936,12
2,0.005817235366464829,9.316684869566373,24
3,0.0030766142963243814,6.717733236587364,36
4,0.0012620812611875676,5.718846801036833,48
5,0.0015683873880052565,5.611511505300412,60
6,0.006465560501918154,5.18195055772714,72
7,0.005320345526427899,5.153028317682343,84
8,0.0012159257972664404,5.056290199015632,96
9,0.002298587353196308,4.027682334004075,108
10,0.0035023183027261063,3.4315069392567312,120
11,0.023954050448070127,2.567442315222932,132
12,0.0259751857943319,2.554812813681024,144
13,0.025669588453255707,2.523454512490037,156
14,0.037550142162566705,2.4338751237316982,168
15,0.045155686471465256,2.401723116544432,180
16,0.059487454587327765,2.210593307663456,192
17,0.06530836670316306,2.186851478261175,204
18,0.06531143137847893,2.147695662603997,216
19,0.07650151336834246,2.135180092971551,228
20,0.07627169279913118,2.127707233192794,240
21,0.1332478827996647,2.086905015477768,252
22,0.664599587316273,1.210849067277777,264
23,0.6246172603499918,1.10812283960668,276
24,0.9523666577466435,0.204791654455583,288
25,0.9922905182938295,0.065909223513678,300
26,0.9905541954121564,0.059149717629481006,312
27,0.9965886823321278,0.02607162719916,324
28,0.9962889288813711,0.022803562384091,336
29,0.998299175813401,0.006648132854889001,348
30,0.9996511210359728,0.0025774218015890004,360
