layers,fidelity,cost,num_2qub_gates
1,0.15523561263110836,128.23030702884003,34
2,0.19901774909031233,52.02278519827308,68
3,0.23143055411998065,44.58745653734367,102
4,0.3444599077113169,34.0449601539955,136
5,0.415534110944628,18.356530603230745,170
6,0.41012632965076595,12.890914925912845,204
7,0.34340352348354536,10.969677577548833,238
8,0.44263366533001364,9.124155953917302,272
9,0.4425344230068123,9.123912089378186,306
10,0.9999999999999976,7.49990936499119e-23,340
11,0.9999999999999976,7.49990936499119e-23,374
12,0.9999999999999976,7.499909364991193e-23,408
13,0.9999999999999976,7.499909364991193e-23,442
14,0.9999999999999976,7.499909364991193e-23,476
15,0.9999999999999976,7.499909364991193e-23,510
