layers,fidelity,cost,num_2qub_gates
1,0.0123254503154242,27.227660712001146,16
2,0.0006377582825187378,22.70323705727758,32
3,0.00046826898714366535,21.25754605275343,48
4,0.00045344825615119857,20.349787138443446,64
5,0.0004008708721013797,20.2528898752188,80
6,0.00042477690404341026,20.2261633270217,96
7,0.00028057153169147873,19.86634117643836,112
8,0.0002237192068501099,19.63893114095802,128
9,0.004742705307845484,17.118977300874434,144
10,0.01031444265205638,17.04552668376796,160
11,0.0003922330442142297,12.68829105159762,176
12,0.00036320860182309056,12.6632290989901,192
13,0.0022329932166284304,10.919258203431113,208
14,0.002381430221679199,10.853134117505682,224
15,0.002282440489261872,10.733586116736507,240
16,0.0010470498075625689,9.379673857465157,256
17,0.004941340550617002,8.26155394468847,272
18,0.007287179160049775,8.109449258138273,288
19,0.009509714866294157,8.058136607314452,304
20,0.009381086996719742,7.942182622117552,320
21,0.009749812065280297,7.93788879660808,336
22,0.00588831720570478,7.154932009870822,352
23,0.009824170309972367,6.774885252086452,368
24,0.007329773618073502,6.734187694474824,384
25,0.01382546721155829,6.643686134612453,400
26,0.014018040939855293,6.577621078140547,416
27,0.01323695848512211,6.552075995481012,432
28,0.01770624394450854,4.637595349284775,448
29,0.026829359086645892,4.562258927357002,464
30,0.02090695298674591,4.055450630035383,480
31,0.03016625370692687,3.938930052264459,496
32,0.0061824393666715565,3.102451460370118,512
33,0.0046151233534994715,2.872685571545351,528
34,0.006606215169186636,2.816951265804143,544
35,0.010907410333229308,2.77433738095273,560
36,0.012715670170715013,2.745647428685105,576
37,0.014777751706645454,2.720954315767097,592
38,0.014861466749935097,2.720521634195489,608
39,0.014009494535836243,2.680830312608844,624
40,0.01663558350606793,2.6411733157731243,640
41,0.016878758981426625,2.641087832579567,656
42,0.01675495038305287,2.641021306935407,672
43,0.12246943310640426,2.119415529339772,688
44,0.1333880582387992,2.097141974042483,704
45,0.12310216987428502,2.077496523259907,720
46,0.10708258751137319,2.050338208937579,736
47,0.10957302107517727,2.011521689914806,752
48,0.16785244734628763,1.930930895949977,768
49,0.9408628143918603,0.341649662297277,784
50,0.9421232783626261,0.330856606883534,800
51,0.9348451350904057,0.309306054365518,816
52,0.9876086884368199,0.13790028921681302,832
53,0.9900203700316078,0.08839412784002601,848
54,0.991252488959013,0.07453448619988301,864
55,0.9924724779354399,0.06415481613593,880
56,0.9962833015562031,0.03753764115414,896
57,0.9974595164336103,0.019417497882553002,912
58,0.9983278239341886,0.016496645811262003,928
59,0.9984471029758788,0.015378312648882002,944
60,0.9984629121140085,0.015099322186785,960
61,0.9984708571832468,0.014993421626437001,976
62,0.9984743000433788,0.014940504562801,992
63,0.9985354900346599,0.014550966874101002,1008
64,0.9985404610603248,0.014523522370512002,1024
65,0.9985439446440344,0.014506194991060001,1040
66,0.9985462782913254,0.014494392385348002,1056
67,0.9985475049646901,0.014485888675529001,1072
68,0.9999999999999996,9.17395898517357e-20,1088
69,0.9999999999999996,9.17395898517357e-20,1104
70,0.9999999999999996,9.17395898517357e-20,1120
