N,protocol,layers,fidelity,entropy,entropy_max,confidence
143,standard,1,0.01120525247973085,7.770569335027158,8,0.02867883312160524
143,standard,2,0.010965347271597248,7.589560399898444,8,0.05130495001269453
143,standard,3,0.010728561289617848,7.501587746369182,8,0.06230153170385222
143,standard,4,0.010759838670718069,7.438277229347823,8,0.07021534633152215
143,standard,5,0.011083054132179283,7.375092279206543,8,0.07811346509918216
143,standard,6,0.011832437593820166,7.329499360339475,8,0.08381257995756564
143,standard,7,0.016433464543704222,7.20549136257016,8,0.09931357967873
143,standard,8,0.020803772737678815,7.085268819807339,8,0.11434139752408268
143,standard,9,0.023079960500592744,7.003137834695287,8,0.12460777066308915
143,standard,10,0.024908223616949395,6.941286356967241,8,0.13233920537909483
143,standard,11,0.026735458911107186,6.903342629718748,8,0.13708217128515654
143,standard,12,0.027383795242743675,6.860772597085551,8,0.14240342536430617
143,standard,13,0.02798033560968852,6.796241319794303,8,0.1504698350257121
143,standard,14,0.028993119400374343,6.764477786219556,8,0.15444027672255545
143,standard,15,0.029492505838488482,6.742536060347322,8,0.15718299245658474
143,standard,16,0.029717588805792547,6.730279333044052,8,0.15871508336949347
143,standard,17,0.030094280078142105,6.706256826931073,8,0.1617178966336159
143,standard,18,0.03049795747563533,6.645802607855453,8,0.1692746740180684
143,standard,19,0.031029049054902266,6.604085700688306,8,0.17448928741396175
143,standard,20,0.03394921430944446,6.446380555559328,8,0.19420243055508402
143,standard,21,0.03587970493131287,6.428319772463375,8,0.1964600284420781
143,standard,22,0.036999094283487924,6.4154494008651595,8,0.19806882489185507
143,standard,23,0.037845705457386726,6.399450509484632,8,0.20006868631442098
143,standard,24,0.03930728172376742,6.371746619668327,8,0.2035316725414591
143,standard,25,0.041385520940312046,6.336503342208599,8,0.20793708222392515
143,standard,26,0.04264814099257151,6.308084024599299,8,0.21148949692508767
143,standard,27,0.043574245803562714,6.2800903301617685,8,0.21498870872977893
143,standard,28,0.044025089157452846,6.265012625990737,8,0.21687342175115787
143,standard,29,0.04465625043972645,6.231176451151711,8,0.2211029436060361
143,standard,30,0.045531911479592166,6.198122635618644,8,0.22523467054766955
143,standard,31,0.04613646691539058,6.181474468142844,8,0.22731569148214448
143,standard,32,0.04716583669840235,6.150334673710803,8,0.23120816578614967
143,standard,33,0.04814023851561268,6.141995951698623,8,0.23225050603767217
143,standard,34,0.049339458219067,6.108254668492713,8,0.23646816643841084
143,standard,35,0.04948743236548007,6.101476298894085,8,0.23731546263823933
143,standard,36,0.04862566707492593,6.108727575153568,8,0.23640905310580396
143,standard,37,0.04726707360255456,6.129199655902436,8,0.23385004301219547
143,standard,38,0.046697544992995686,6.148321399432509,8,0.23145982507093632
143,standard,39,0.04674780508845698,6.151047023148647,8,0.23111912210641916
143,standard,40,0.054683155418102064,6.015818845722375,8,0.2480226442847031
143,standard,41,0.055740454567733314,5.998136208917694,8,0.2502329738852882
143,standard,42,0.057175249448482776,5.987242432065991,8,0.2515946959917511
143,standard,43,0.05662311005698208,5.991170012078312,8,0.251103748490211
143,standard,44,0.05902560682231325,5.94627387483606,8,0.2567157656454925
143,standard,45,0.06187670518140893,5.909667878335721,8,0.26129151520803484
143,standard,46,0.06140046158985858,5.917657223017915,8,0.2602928471227606
143,standard,47,0.06542054180197096,5.856810005702119,8,0.2678987492872351
143,standard,48,0.06569530315740116,5.84009742959902,8,0.26998782130012255
143,standard,49,0.06621345242724362,5.831130739226404,8,0.27110865759669955
143,standard,50,0.06420800914171786,5.825907156872193,8,0.2717616053909758
143,standard,51,0.06511478582752664,5.811569475778405,8,0.2735538155276994
143,standard,52,0.07063115382162238,5.777751216575397,8,0.27778109792807537
143,standard,53,0.07232516733689746,5.765511400405859,8,0.27931107494926766
143,standard,54,0.07362609938095295,5.756592113005114,8,0.28042598587436074
143,standard,55,0.07373844116627074,5.7556473539715585,8,0.2805440807535552
143,standard,56,0.07320900508176859,5.760676286138926,8,0.27991546423263425
143,standard,57,0.07439261069450409,5.742330102363453,8,0.2822087372045684
143,standard,58,0.07846914977986129,5.705386792692446,8,0.2868266509134443
143,standard,59,0.07824007967518345,5.699463188072675,8,0.2875671014909156
143,standard,60,0.08167487082036101,5.672185259547294,8,0.2909768425565883
143,standard,61,0.08484358527533942,5.635535757139118,8,0.2955580303576103
143,standard,62,0.08419781129231305,5.6356329077687395,8,0.29554588652890756
143,standard,63,0.08471576372554417,5.6336895807747105,8,0.2957888024031612
143,standard,64,0.08598457390271161,5.630908585637926,8,0.2961364267952592
143,standard,65,0.08545423349728098,5.627039768814576,8,0.29662002889817796
143,standard,66,0.08392118376665578,5.63103628953301,8,0.29612046380837376
143,standard,67,0.08316207674699913,5.6334841280302435,8,0.29581448399621957
143,standard,68,0.08398010843564568,5.63905107747167,8,0.2951186153160412
143,standard,69,0.07884252682873305,5.6523138949504546,8,0.2934607631311932
143,standard,70,0.08010595104174648,5.646695509909181,8,0.2941630612613524
143,standard,71,0.0820221376086887,5.633145471951834,8,0.29585681600602076
143,standard,72,0.08243414690228174,5.632775260431543,8,0.29590309244605717
143,standard,73,0.08271830395864863,5.629326764344226,8,0.29633415445697175
143,standard,74,0.08492084974393292,5.618384980980084,8,0.29770187737748954
143,standard,75,0.08671929948319887,5.596934020922489,8,0.3003832473846889
143,standard,76,0.08456204924411667,5.604195283356244,8,0.2994755895804695
