layers,fidelity,cost,num_2qub_gates
1,0.010209689806778329,249.27798799975204,12
2,0.006263692402375982,171.1648540595857,24
3,0.0031708026862380884,95.84499298757194,36
4,0.002482601415626613,84.30543545755988,48
5,0.0017302105938765665,68.29808047637768,60
6,0.0016132365311764497,68.13573459009054,72
7,0.0016068298308471653,67.72956353203718,84
8,0.0050818544508511535,36.22479355969682,96
9,0.0018778397679577435,28.07406004484262,108
10,0.0013687915690045493,25.2365715515963,120
11,0.001229229643823783,23.719119998579817,132
12,0.002184854931038668,19.630531200988738,144
13,0.002025014204059528,18.816585163214576,156
14,0.002132950795018091,18.50741283837218,168
15,0.004824110246028097,13.3895280798105,180
16,0.004288220871780496,12.698502647681593,192
17,0.006940065079122139,11.159307125672855,204
18,0.0017999002279979835,8.827140131568346,216
19,0.004877358464027462,6.99608018215796,228
20,0.008827487558644456,6.041101015162339,240
21,0.009026024326020505,4.5752487417483465,252
22,0.01514926784168585,4.285180290445309,264
23,0.012653736756953644,4.218882047675299,276
24,0.016931744672152284,4.093352057416024,288
25,0.020772479306806296,4.038808244634108,300
26,0.020653979371754307,4.038596611607485,312
27,0.020634551548098276,4.038560781234196,324
28,0.0206276085044153,4.038546663050362,336
29,0.02062438660121514,4.038539517303487,348
30,0.02062438660121514,4.038539517303487,360
