layers,fidelity,cost,num_2qub_gates
1,0.00569385702838117,20069.10923331375,416
2,0.006419606114854954,10456.021289170614,832
3,0.0067685843598744985,8028.600616053476,1248
4,0.007177449316963401,6993.342776939088,1664
5,0.0076459205073872985,6387.871683636149,2080
6,0.008085689910292689,6080.299670282902,2496
7,0.00838460010476504,5859.06111992903,2912
8,0.0089466594353026,5640.337094968918,3328
9,0.013449710833354386,4417.348851329708,3744
10,0.014509938645405706,4232.759341629993,4160
11,0.015149285081134682,4124.109248810625,4576
12,0.015124589636537834,4123.509687556835,4992
13,0.014987085670030462,4108.961994653031,5408
14,0.015483873635066724,4091.898493370489,5824
15,0.015180603376994143,4088.117921396184,6240
16,0.015135382203030383,4088.0388658317825,6656
17,0.016355205887457917,4069.107945147454,7072
18,0.0175202248937118,3962.8169565034664,7488
19,0.01850265531739001,3920.087795473988,7904
20,0.01986701571198052,3863.3151807247937,8320
21,0.019748181887955706,3856.2722472746345,8736
22,0.02065683633742016,3818.16581669044,9152
23,0.021189850699533004,3781.1947502637013,9568
24,0.020936925445539697,3767.6230824180598,9984
25,0.02101327271075691,3741.914213031328,10400
26,0.021181674153168153,3725.6777882159026,10816
27,0.020804715257811312,3650.5823891019363,11232
28,0.02134375020210559,3635.5120459009163,11648
29,0.021726896406533497,3565.2666937375106,12064
30,0.021588029184250467,3548.5519611323552,12480
31,0.02154474205709235,3542.8047200395813,12896
32,0.021688048892910563,3513.1096028269912,13312
33,0.02184926718386227,3503.2083936981326,13728
34,0.021788607301174937,3484.100280045204,14144
35,0.021811231282214582,3472.8453079982464,14560
36,0.02193213827890079,3466.0265454010646,14976
37,0.024104622320128756,3366.919779054949,15392
38,0.024104622307073224,3366.919779054949,15808
39,0.024536842250119043,3360.120793965898,16224
40,0.02751471198271953,3165.443562772556,16640
41,0.027601783109265483,3157.873936100537,17056
42,0.027180704481099556,2962.338108873949,17472
43,0.02732743000500603,2953.421649598571,17888
44,0.02792409872173966,2919.790386612852,18304
45,0.02767190010137262,2917.9544303810053,18720
46,0.027833488740567174,2913.711041385477,19136
47,0.027367163813098422,2908.349075141011,19552
48,0.028250438070457535,2867.364823243609,19968
49,0.028171247860278918,2857.6883371693602,20384
50,0.02880684272430647,2855.6353098426634,20800
51,0.02894505805430682,2828.6333679138434,21216
52,0.030064014254659287,2820.562041712131,21632
53,0.029985271229708975,2709.6880143406206,22048
54,0.029071126804731385,2699.2936932747543,22464
55,0.028720061789414008,2692.0528831772476,22880
56,0.030002863338755424,2668.626031830978,23296
57,0.03110175453156956,2661.880279566056,23712
58,0.03032602370281897,2659.2499968342354,24128
59,0.029612642236923902,2642.7499307050716,24544
60,0.028931271012136738,2608.795651049255,24960
61,0.02763035321804555,2586.7150800379013,25376
62,0.030414443927002988,2543.3529552942314,25792
63,0.03310192725240754,2512.354651775035,26208
64,0.03340064611929443,2501.9659752320404,26624
65,0.031700195968130354,2472.1447200096595,27040
66,0.030956298312297997,2470.7250932225043,27456
67,0.03267520838272107,2463.2780332343664,27872
68,0.03318840042217087,2458.14854975889,28288
69,0.03374357271431425,2430.400446488359,28704
70,0.033926607448250316,2424.4073498450753,29120
71,0.033153261347106965,2417.635158931418,29536
72,0.03234291181766849,2410.7574902899205,29952
73,0.03201378130092567,2404.6007418572444,30368
74,0.029569837416213413,2397.025005614251,30784
75,0.029855769875056323,2394.5127625756895,31200
76,0.03024542171387193,2389.2543138721003,31616
77,0.02847532155202592,2384.0912416740202,32032
