layers,fidelity,cost,num_2qub_gates
1,0.0020846927238818563,52.12855384132153,24
2,0.00305752769538496,49.40194602577145,48
3,0.005338140280180756,47.228234112540555,72
4,0.0075708550897730115,43.92470480773035,96
5,0.0069260970452758065,43.65507439181959,120
6,0.006852100565165116,43.34433798015286,144
7,0.0006622009383057363,37.63085702836434,168
8,0.005447544733330085,35.58621312518953,192
9,0.00666272248347504,33.7377063691948,216
10,0.0054173967595180965,32.08135134959623,240
11,0.006173257360277864,31.280555663922243,264
12,0.0026222898529756336,29.731493012700348,288
13,0.006436961297139916,28.74885870105142,312
14,0.007762841236566178,27.76507849516632,336
15,0.006575396611916413,26.63669661619614,360
16,0.005164480547344749,25.018503327409633,384
17,0.0048751767133328044,24.978976934428715,408
18,0.005326175218037591,24.879710532922964,432
19,0.003648391444996689,23.80658213691834,456
20,0.0025192386921286496,22.76342646372636,480
21,0.0016648702123438575,22.514915400218136,504
22,0.00426782618320576,21.993483827295734,528
23,0.005600247944737955,21.464394398558852,552
24,0.03787036975958941,19.326896850638807,576
25,0.03725043747108095,19.187796936759455,600
26,0.04177183200669142,18.366105267015513,624
27,0.0411725896332854,18.16634755351736,648
28,0.04298651287397609,17.650234503112504,672
29,0.04309266503665546,17.49760968936841,696
30,0.0411301189094589,17.462237323020005,720
31,0.04308813544030013,17.411410253047606,744
32,0.049811356029296636,16.319655618421976,768
33,0.048838962769199905,16.19218521585382,792
34,0.04609714378608544,15.885306522356922,816
35,0.045370019127077936,14.964235060303398,840
36,0.05039749744965562,14.447700012900302,864
37,0.05138944775694528,14.300620566343973,888
38,0.047702406064299006,13.771337154518546,912
39,0.044957232304680995,13.300830229564767,936
40,0.046338776397043126,13.04582476868703,960
41,0.049218071741825714,12.762439849961915,984
42,0.0582871532462356,12.53033154296013,1008
43,0.058775084170559475,12.467410173934917,1032
44,0.05686049969122344,12.359322065116656,1056
45,0.05948362163611316,12.134333371886077,1080
46,0.053713338381767166,11.805629388147517,1104
47,0.05719088642560534,11.724719106602638,1128
48,0.057423715901511456,10.963778110625404,1152
49,0.05668139721520696,10.826492321114447,1176
50,0.05900759701901246,10.619875718434622,1200
51,0.06064190628960914,10.6007127199377,1224
52,0.05942970203104377,9.8890396977478,1248
53,0.059900810682931446,9.808942722942632,1272
54,0.06113298475990389,9.605761240826336,1296
55,0.030057887892045984,8.754088158256737,1320
56,0.033819530163561005,8.25471398867141,1344
57,0.030163770640829556,8.171432739305864,1368
58,0.03662267583717632,8.110690174225091,1392
59,0.036022637037829104,8.095008001609353,1416
60,0.03251574247021314,7.993321061069612,1440
61,0.029037975401787007,7.96848920537051,1464
62,0.02278545394902349,7.910335231017002,1488
63,0.01849911280145356,7.768908384667475,1512
64,0.017317633387319533,7.281764882692256,1536
65,0.016324627630451956,7.224458291555651,1560
66,0.02413524819300973,6.484902280949193,1584
67,0.024574515387515324,6.151538897278153,1608
68,0.022430766720121387,6.114643036329191,1632
69,0.01738618832958858,6.033041381336309,1656
70,0.011174970432817764,5.884720416539773,1680
71,0.010035357485586626,5.816821762206829,1704
72,0.004033232707523174,5.793324141504147,1728
73,0.0044191679615234215,5.78880112362342,1752
74,0.004163695628307341,5.695007719321914,1776
75,0.012044817516065643,5.472798052368951,1800
76,0.004330989988683096,5.4467471342799545,1824
77,0.004431835807593994,5.444129888963186,1848
78,0.01516495182861847,5.020042529930915,1872
79,0.018878428381096525,4.964397728619842,1896
80,0.01894710665399601,4.9640745695049,1920
81,0.03486041397014292,4.554863442270522,1944
82,0.06686183492872042,4.051067395664389,1968
83,0.06674172405936385,4.048457386378864,1992
84,0.06668685589295405,4.0467662650854,2016
85,0.04458343030638545,3.728519344803061,2040
86,0.04454645430257835,3.726208537026306,2064
87,0.06417414151920164,3.256530653276473,2088
88,0.06363673759035328,3.254769751805312,2112
89,0.08898967597488525,3.132131841669549,2136
90,0.08296836892129328,3.121074476606936,2160
91,0.08581353791932696,3.112607060070023,2184
92,0.0761600286590575,3.105840295709343,2208
93,0.06257754289265156,3.022774806637302,2232
94,0.06563210304621328,2.989178086395594,2256
95,0.06781998962410231,2.982068712076966,2280
96,0.16485015084935187,2.429681576277688,2304
97,0.2190223086657923,2.238272947899463,2328
98,0.22443684383256274,2.223220078183366,2352
99,0.9203474973051198,0.516479786727998,2376
100,0.9201291463370778,0.516362496816239,2400
