layers,fidelity,cost,num_2qub_gates
1,0.046635278528843006,308.61445932282743,12
2,0.05029922381323022,229.86983974885095,24
3,0.015484558335624989,153.186702410529,36
4,0.0156366107657452,139.83993493212222,48
5,0.0011336368025825264,119.95649171988514,60
6,0.0011859118767482929,96.33129689541298,72
7,0.006996900795424787,83.1046937834878,84
8,0.0012986707234140275,70.02529467019733,96
9,0.0003608149946809625,62.827575796069354,108
10,0.002241186930635872,56.35287325138751,120
11,0.008647014711542424,54.0703487536362,132
12,0.002339834602101449,47.85432640748713,144
13,0.0018747095656794048,46.61531996336042,156
14,0.00217708404807893,43.936130529488395,168
15,0.0015038995644574896,43.42280174175697,180
16,0.012121321290079574,39.62225876323781,192
17,0.012416614542260188,38.58160636553323,204
18,0.01795214414099398,36.88520995881206,216
19,0.01949906373749576,36.6865043371788,228
20,0.038280204393438245,35.865120606732425,240
21,0.04145294715197408,35.24356528923429,252
22,0.9435990109157912,3.475368382435859,264
23,0.9417399720206032,3.296798960126837,276
24,0.947208864186736,2.428207570768477,288
25,0.9817077349844341,0.704434110262059,300
26,0.9839677509180825,0.410192498971198,312
27,0.9842545448300399,0.40584030489868306,324
28,0.9833943472887661,0.40011431636070804,336
29,0.9939282208744774,0.160092122014231,348
30,0.9930745353763799,0.145311680131191,360
