layers,fidelity,cost,num_2qub_gates
1,0.10466315562705074,1382.099774247136,16
2,0.1429047058703275,989.9048918571015,32
3,0.17905426958556975,588.3570785891096,48
4,0.2696112845688402,469.8645009441509,64
5,0.2680618300075449,469.5805963848886,80
6,0.3483486043420386,319.33891239179286,96
7,0.35424344757081083,308.6621900584815,112
8,0.3345347170557215,288.3077898134924,128
9,0.2990205906749789,236.8023559675995,144
10,0.4043418981663648,183.00162660475897,160
11,0.45205204238118496,158.17551298931124,176
12,0.4895961383207856,145.81587893135438,192
13,0.4895778145560366,145.76725609324387,208
14,0.4810208610720315,137.6059545269081,224
15,0.4747687692478107,137.2435691027826,240
16,0.5027297227589451,134.5059690710171,256
17,0.502999786142406,131.47378813173205,272
18,0.49940803518244054,114.83117887740787,288
19,0.47464409061561874,111.94256884929791,304
20,0.5038425923808716,102.35721858824763,320
21,0.5279315719247222,87.8702568496316,336
22,0.5892638917641255,86.79796201667305,352
23,0.5778492731703132,80.4050053997776,368
24,0.6190795305020339,75.00787337327321,384
25,0.7053161754309074,63.754410803293254,400
26,0.7016466264862014,63.58345434616543,416
27,0.8136339643046742,49.16800136247602,432
28,0.8128902112595162,48.99544362717885,448
29,0.8568261431352868,41.4063459769332,464
30,0.8581665452488555,41.301745956393525,480
31,0.822820249311204,34.6349347299931,496
32,0.8269667984259068,33.006281650678,512
33,0.8439414366445264,31.210897479596856,528
34,0.8489359948114387,27.726970140194727,544
35,0.8099329105415095,19.753655488955516,560
36,0.8069547035623447,16.46784543844773,576
37,0.8323414600491004,13.237387681962876,592
38,0.8405281685102672,12.494890700184863,608
39,0.8353671154948554,11.828472455811273,624
40,0.8232287151052496,9.844758154118022,640
41,0.8192311719429087,7.943158526655286,656
42,0.8186731264295495,7.2593592538226535,672
43,0.8032075069173146,6.828206651992041,688
44,0.751596006222762,5.040103794867174,704
45,0.7476199662777028,4.929737643794171,720
46,0.7611017159114327,4.2713113410442,736
47,0.7582137869928454,4.111517092669431,752
48,0.785631978764783,3.407141775789612,768
49,0.7826201448212005,3.37909783353395,784
50,0.8202736473395944,2.172064870956192,800
