layers,fidelity,cost,num_2qub_gates
1,0.023829810584525688,1326.6714354707392,130
2,0.02875960247109672,970.1526855611598,260
3,0.03038769591415031,883.6108658643714,390
4,0.035003207754779705,793.6143716869949,520
5,0.04469261630609852,668.0564389174914,650
6,0.0530584975205703,556.7956462328709,780
7,0.055470448783872875,488.7119976023595,910
8,0.056727713280016065,457.7327724325738,1040
9,0.06384665600454842,379.5909238621501,1170
10,0.06021777223990774,350.5857281543843,1300
11,0.05685335806009504,326.7571133344441,1430
12,0.053339787724354035,296.9805898322119,1560
13,0.05242273776344388,266.5432903756662,1690
14,0.050783469874408536,242.67858043528665,1820
15,0.05725701211600557,229.45813562263027,1950
16,0.06013293790105039,210.193922412559,2080
17,0.06713479777533694,197.18464850745585,2210
18,0.08452492175999236,176.22480938559465,2340
19,0.10043658590717353,139.9053326395338,2470
20,0.11072356371306898,127.82348402527143,2600
21,0.11817818172898656,117.11621875272579,2730
22,0.1426725076649596,100.14062136206601,2860
23,0.16845426548466688,83.75427574272112,2990
24,0.1755839541308602,75.55283126880752,3120
25,0.1787285066734608,73.10375442318046,3250
26,0.1914909136071494,56.78101670086622,3380
27,0.1990732127496729,53.36942052971996,3510
28,0.21751482517858875,51.8429818642252,3640
29,0.22166670911843406,48.397853918930664,3770
30,0.22045374395828915,48.030940997816614,3900
31,0.21985072668572161,44.34505179711006,4030
32,0.21812382344331388,44.032737804350894,4160
33,0.2171206377655374,41.93104676373697,4290
34,0.21823850560208638,41.53526498355025,4420
35,0.21363569713478164,40.83659587183314,4550
36,0.2143660521650785,40.82905681046647,4680
37,0.20640866383641268,39.93123351083452,4810
38,0.20493266600407478,39.89284242600019,4940
39,0.20751188382094637,37.9265296912162,5070
40,0.2078218349004113,37.92434168988386,5200
41,0.21053261352997862,37.90288161329904,5330
42,0.3277335112955771,23.15753601417685,5460
43,0.3289096984437865,23.007253104516018,5590
44,0.3326022598325979,22.854686707260715,5720
45,0.3298584419741582,22.404523947561813,5850
46,0.33048671084899944,22.343209009922383,5980
47,0.38144140522938147,17.862006256350682,6110
48,0.4078404729019566,15.382421812040448,6240
49,0.3958461708809596,14.706479470408368,6370
50,0.3958143854350072,14.68509013011003,6500
51,0.4001384566182057,14.393980567895369,6630
52,0.44404132855785666,11.048524875606828,6760
53,0.45254600160674413,10.69957914493998,6890
54,0.4761004181825872,9.360164569865995,7020
55,0.6928756847574415,6.497867955481002,7150
56,0.6920071183018721,6.35731095289092,7280
57,0.6955421725649313,5.869858915715083,7410
58,0.6929214735524707,5.684488351989974,7540
59,0.6856587045258603,5.358755637374358,7670
60,0.977081630291064,0.32576528654978204,7800
61,0.9784844109884739,0.282547259801814,7930
62,0.9893103633207512,0.094861203155522,8060
63,0.9894817997925233,0.093215897406643,8190
64,0.9903182570273185,0.060168549485658,8320
65,0.9999999999999998,3.1337151537539813e-25,8450
66,0.9999999999999953,2.6697044218292535e-25,8580
67,0.9999999999999956,2.385700303528636e-25,8710
68,0.9999999999999984,2.321602753423334e-25,8840
69,0.9999999999999984,2.321602753423334e-25,8970
70,0.9999999999999984,2.321602753423334e-25,9100
