N,protocol,layers,fidelity,entropy,entropy_max,confidence
21,standard,1,0.757475503430695,1.2312796882613384,3,0.5895734372462205
21,standard,2,0.776675323838814,0.8788198095016144,3,0.7070600634994619
21,standard,3,0.7776927583754497,0.8049296747613213,3,0.7316901084128928
21,standard,4,0.836450627864776,0.6942735187493625,3,0.7685754937502125
21,standard,5,0.983123961170919,0.16364347590180361,3,0.9454521746993988
21,standard,6,0.9971300424826816,0.03321244467099867,3,0.9889291851096671
21,standard,7,0.9999999999999998,3.2034281994159785e-16,3,0.9999999999999999
21,standard,8,0.9999999999999998,3.2034281994159785e-16,3,0.9999999999999999
21,standard,9,0.9999999999999998,3.2034281994159785e-16,3,0.9999999999999999
21,standard,10,0.9999999999999998,3.2034281994159785e-16,3,0.9999999999999999
